route,x,y,lat,long,season,type,hab
F-E,578302.9377530457,5570811.911389536,-40.00925,147.91752,autumn,RK,OO
F-E,578302.9377530457,5570811.911389536,-40.00925,147.91752,autumn,FR,OO
F-E,585350.8215848106,5562125.438880943,-40.08681,148.00117,autumn,RK,FO
F-E,585295.9237856879,5562158.101293886,-40.08659,148.00047,autumn,RK,FO
F-E,585295.9237856879,5562158.101293886,-40.08659,148.00047,autumn,FR,FO
F-E,584567.2786298313,5562613.878343449,-40.08257,147.99183,autumn,RK,OO
F-E,584213.8527807981,5562937.291952526,-40.07967,147.987668,autumn,RK,OO
F-E,583915.5179912959,5563210.321587278,-40.07727,147.9841,autumn,RK,OO
F-E,581028.6266584088,5566551.632995242,-40.04731,147.95015,autumn,RK,OO
F-E,584812.9461213008,5562444.474378435,-40.08403,147.99479,autumn,FR,FF
F-E,584594.7495107552,5562588.866580783,-40.08278,147.99217,autumn,RK,OO
F-E,584587.5578993332,5562595.414149148,-40.0827,147.99211,autumn,RK,OO
F-E,583910.7387309402,5563214.678310882,-40.07726,147.98401,autumn,RK,OO
F-E,583211.2255884307,5563851.070399789,-40.07142,147.97593,autumn,RK,FO
F-E,580769.7302020853,5567123.200831964,-40.04226,147.9468,autumn,RK,FO
F-E,580102.6325768024,5567932.974242616,-40.03503,147.93888,autumn,RK,FF
F-E,579234.5219777873,5568726.161998681,-40.02821,147.92848,autumn,RK,FF
F-M,589504.1427959994,5570600.871311539,-40.010049,148.048697,winter,RK,OO
F-M,589406.2421904234,5570493.365689649,-40.011021,148.047547,winter,RK,OO
F-M,589367.9379222395,5570235.446134751,-40.013354,148.047199,winter,RK,OO
F-M,589368.2735464228,5570024.583426034,-40.015254,148.047182,winter,RK,OO
F-M,589366.8370251518,5569417.137314546,-40.020726,148.047272,winter,RK,OO
F-M,589367.5439524272,5569108.4120701775,-40.023507,148.047325,winter,RK,OO
F-M,589368.1912811289,5568901.282206305,-40.025372,148.047361,winter,RK,OO
F-M,589381.2649852235,5568767.874079459,-40.026572,148.047521,winter,RK,FO
F-M,589388.7893521811,5568713.667725581,-40.027059,148.047621,winter,RK,FO
F-M,589402.0351360464,5568624.456124382,-40.027861,148.047789,winter,RK,OO
F-M,589402.0351360464,5568624.456124382,-40.027861,148.047789,winter,RK,OO
F-M,589432.4045570863,5568425.135831047,-40.029654,148.048167,winter,RK,FF
F-M,589459.7087309217,5568243.661664427,-40.031286,148.048511,winter,RK,FF
F-M,589480.4616022205,5568102.969349456,-40.032553,148.048759,winter,RK,FF
F-M,589506.6080415363,5567925.76171608,-40.03415,148.049062,winter,RK,FF
F-M,589519.0464550088,5567856.102449456,-40.03478,148.049209,winter,RK,FF
F-M,589734.2173096547,5567610.3461003415,-40.036984,148.051787,winter,RK,OO
F-M,590112.0122274079,5567312.066884506,-40.039591,148.056325,winter,RK,OO
F-M,590154.4406438742,5567201.359043591,-40.040591,148.056828,winter,RK,OO
F-M,590179.1166923837,5567124.250888505,-40.041282,148.057142,winter,RK,OO
F-M,589966.5226634821,5566677.270761923,-40.045371,148.054709,winter,RK,FF
F-M,589398.4178497191,5564223.837894234,-40.067517,148.048297,winter,RK,FF
F-M,589587.5964306016,5564018.5804004455,-40.069311,148.05063,winter,RK,FO
F-M,589504.6657776169,5563825.038065801,-40.071113,148.049667,winter,RK,FO
F-M,589224.4659274792,5563594.88270193,-40.073192,148.046387,winter,RK,FF
F-M,587325.3037569486,5560987.061029799,-40.096875,148.024548,winter,RK,OO
F-M,587296.8724687046,5560764.047993598,-40.0989,148.024217,winter,RK,OO
F-M,587283.806164472,5560699.802897217,-40.099479,148.024065,winter,RK,OO
F-M,587319.2647516857,5560879.96555298,-40.097855,148.024495,winter,RK,OO
F-M,588330.526457834,5562891.837205642,-40.0796,148.035963,winter,RK,OO
F-M,588341.3715294552,5562909.03117359,-40.07944,148.036073,winter,RK,OO
F-M,588351.4109250215,5562927.042622971,-40.079277,148.036189,winter,RK,OO
F-M,588391.8013233689,5562979.9638481755,-40.078784,148.036658,winter,RK,OO
F-M,588486.0713892538,5563053.148975352,-40.078134,148.037787,winter,RK,OO
F-M,588514.7560088682,5563074.180602586,-40.07794,148.038119,winter,RK,OO
F-M,589563.7531303907,5563875.401610853,-40.070639,148.05034,winter,RK,FO
F-M,589424.9489427641,5570520.907651682,-40.01071,148.047657,winter,RK,OO
F-M,589416.3687914592,5570509.141088178,-40.010871,148.047657,spring,RK,OO
F-M,589367.0042262465,5569746.8311898075,-40.017756,148.047234,spring,RK,OO
F-M,589367.6484815731,5568949.054381311,-40.024942,148.047371,spring,RK,OO
F-M,589378.0193072332,5568791.279163834,-40.026358,148.04751,spring,RK,FO
F-M,589383.354374057,5568752.812228319,-40.026703,148.047586,spring,RK,FO
F-M,589400.4974968798,5568634.520516153,-40.027765,148.047813,spring,RK,FO
F-M,589405.2474672793,5568603.424338446,-40.028045,148.04787,spring,RK,OO
F-M,589408.1130087933,5568584.646442305,-40.028214,148.047905,spring,RK,OO
F-M,589418.0216755464,5568519.715303561,-40.028798,148.048029,spring,RK,OO
F-M,589425.9109927637,5568468.015447813,-40.029266,148.048104,spring,RK,FF
F-M,589431.7517024224,5568429.454228134,-40.029612,148.048184,spring,RK,FF
F-M,589446.7399421217,5568329.931670129,-40.030507,148.048373,spring,RK,FF
F-M,589486.1466512438,5568064.183775222,-40.032898,148.048862,spring,RK,FF
F-M,589506.1445177902,5567928.882910211,-40.034118,148.049088,spring,RK,FF
F-M,590117.4680263796,5567300.16909444,-40.039701,148.05639,spring,RK,OO
F-M,590138.2196135384,5567245.980763829,-40.04019,148.056633,spring,RK,OO
F-M,590151.6318260266,5567209.266841279,-40.040522,148.056786,spring,RK,OO
F-M,589933.7124619897,5566640.007886404,-40.045692,148.054291,spring,RK,FF
F-M,589845.1036739053,5566523.593604636,-40.046741,148.053255,spring,RK,FF
F-M,589769.1263570032,5566372.526766249,-40.048116,148.052401,spring,RK,FF
F-M,589522.0795398607,5563839.336254806,-40.071005,148.049894,spring,RK,FO
F-M,589492.1905508888,5563814.7947587045,-40.071222,148.049539,spring,RK,FO
F-M,589442.5521050295,5563774.036659396,-40.071582,148.048949,spring,RK,FF
F-M,589355.7297483186,5563702.648950419,-40.072228,148.047934,spring,RK,FF
F-M,588644.404643781,5563166.298004452,-40.077095,148.039626,spring,RK,FF
F-M,587000.4802356451,5561698.348441484,-40.090518,148.020518,spring,RK,OO
F-M,589245.0912017626,5563611.739145906,-40.073086000000004,148.046679,spring,RK,FF
F-M,589381.6571636866,5568765.046020101,-40.026595,148.047547,summer,RK,FO
F-M,589405.4978183572,5568601.783787605,-40.028058,148.047887,summer,RK,OO
F-M,589497.0062391628,5567990.446782143,-40.03356,148.049008,summer,RK,FF
F-M,589507.3366640017,5567920.855447131,-40.034186,148.049137,summer,RK,FF
F-M,589656.2328923496,5567664.640791814,-40.036492,148.050875,summer,RK,OO
F-M,590171.1739947846,5567152.293875935,-40.041025,148.057068,summer,RK,OO
F-M,590093.5254346753,5566898.083866862,-40.043359,148.056152,summer,RK,OO
F-M,590072.8007035599,5566866.0038675405,-40.043648,148.055909,summer,RK,OO
F-M,590061.8175936196,5566849.004536424,-40.043802,148.055782,summer,RK,OO
F-M,589956.0851776475,5566664.71081761,-40.045508,148.05461,summer,RK,FF
F-M,589881.7327849346,5566586.222252624,-40.046185,148.053696,summer,RK,FF
F-M,589840.2056355731,5566512.968749926,-40.046853,148.053244,summer,RK,FF
F-M,589725.8462286093,5566292.383658008,-40.048855,148.051934,summer,RK,FF
F-M,589390.4049858238,5565665.608109594,-40.054523,148.048072,summer,RK,FF
F-M,589593.253504598,5564009.61252346,-40.069385,148.05071,summer,RK,FO
F-M,589480.586604874,5563805.266853108,-40.071307,148.049402,summer,RK,FO
F-M,589178.4148673323,5563557.255364381,-40.073554,148.045872,summer,RK,FF
F-M,588065.5343013877,5562465.642105595,-40.083525,148.032999,summer,RK,OO
F-M,587647.0156645585,5562303.737755588,-40.084987,148.028063,summer,RK,OO
F-M,587321.6288197499,5561017.986278249,-40.096593,148.024485,summer,RK,OO
F-M,587326.7490728591,5560943.47924588,-40.097279,148.024589,summer,RK,OO
F-M,587317.3849286073,5560867.941672125,-40.097964,148.024479,summer,RK,OO
F-M,589367.4655424515,5568972.2920792755,-40.024733,148.047345,winter,FR,OO
F-M,589914.9695469254,5566621.561021302,-40.045868,148.054082,winter,FR,FF
F-M,589575.6429919186,5563886.957111312,-40.07055,148.050499,winter,FR,FO
F-M,588979.4081051307,5563394.814543069,-40.074913,148.043425,winter,FR,FF
F-M,588804.1429031065,5563277.467728821,-40.076079,148.041486,winter,FR,FF
F-M,588576.0037492606,5563118.550227222,-40.077548,148.038845,winter,FR,FO
F-M,587319.2647516857,5560879.96555298,-40.097855,148.024495,winter,FR,OO
