route,x,y,lat,long,habitat
F-E,584650.2637844585,5562544.169884185,-40.08312667,147.9928853,OO
F-E,584610.5341683166,5562574.495514492,-40.08285748,147.9924154,OO
F-E,584573.5615299204,5562608.1570770135,-40.08255796,147.9919774,OO
F-E,584536.5970762308,5562641.817247505,-40.08225845,147.9915395,OO
F-E,584499.6237801554,5562675.478435925,-40.08195893,147.9911015,OO
F-E,584462.6501675782,5562709.140547219,-40.0816594,147.9906635,OO
F-E,584425.6762137824,5562742.801361495,-40.08135988,147.9902255,OO
F-E,584388.7019311344,5562776.4619887,-40.08106036,147.9897875,OO
F-E,584351.7532065508,5562810.149893089,-40.08076059,147.9893498,OO
F-E,584314.994023142,5562844.04197594,-40.08045896,147.9889143,OO
F-E,584278.2345104229,5562877.933873791,-40.08015733,147.9884788,OO
F-E,584241.4746683962,5562911.825586644,-40.0798557,147.9880433,OO
F-E,584204.7144970669,5562945.7171145,-40.07955407,147.9876078,OO
F-E,584167.9540087455,5562979.609567302,-40.07925243,147.9871723,OO
F-E,584131.1931788079,5563013.500725163,-40.0789508,147.9867368,OO
F-E,584094.3370851419,5563047.289512668,-40.0786501,147.9863002,OO
F-E,584057.3857280556,5563080.975928452,-40.07835033,147.9858625,OO
F-E,584020.4425685558,5563114.662063,-40.07805056,147.9854249,OO
F-E,583983.4905660413,5563148.349215149,-40.07775078,147.9849872,OO
F-E,583946.5467611823,5563182.036086148,-40.077451,147.9845496,OO
F-E,583909.594088665,5563215.721754773,-40.07715123,147.9841119,OO
F-E,583872.6496384358,5563249.409362227,-40.07685144,147.9836743,OO
F-E,583835.696320482,5563283.095767224,-40.07655166,147.9832366,FO
F-E,583798.7512003438,5563316.781891243,-40.07625188,147.982799,FO
F-E,583761.7972369427,5563350.469032615,-40.07595209,147.9823613,FO
F-E,583724.8514591743,5563384.15478315,-40.07565231,147.9819237,FO
F-E,583687.9053648597,5563417.8414569115,-40.07535252,147.9814861,FO
F-E,583650.9504149149,5563451.528037956,-40.07505273,147.9810484,FO
F-E,583614.0036752038,5563485.215448182,-40.07475293,147.9806108,FO
F-E,583577.0393939465,5563518.888430252,-40.07445326,147.980173,OO
F-E,583540.0229012398,5563552.496301966,-40.07415418,147.9797346,OO
F-E,583503.0060799379,5563586.103986303,-40.0738551,147.9792962,OO
F-E,583465.9804152375,5563619.712687003,-40.07355601,147.9788577,OO
F-E,583428.962948921,5563653.321106491,-40.07325692,147.9784193,OO
F-E,583391.945154009,5563686.929338603,-40.07295783,147.9779809,FO
F-E,583354.9185033714,5563720.537477007,-40.07265874,147.9775424,FO
F-E,583317.9000634264,5563754.146444273,-40.07235964,147.977104,FO
F-E,583280.8812827,5563787.754114222,-40.07206055,147.9766656,FO
F-E,583243.8621855695,5563821.362706746,-40.07176145,147.9762272,FO
F-E,583206.8859438886,5563855.020591883,-40.0714619,147.9757893,FO
F-E,583169.9524479925,5563888.717780766,-40.07116199,147.9753519,FO
F-E,583133.0101081609,5563922.415986467,-40.07086207,147.9749144,FO
F-E,583096.0674273571,5563956.1128956,-40.07056216,147.9744769,FO
F-E,583059.1329451678,5563989.809524785,-40.07026225,147.9740395,OO
F-E,583022.1896189234,5564023.507170661,-40.06996233,147.973602,OO
F-E,582985.2544913669,5564057.2045366755,-40.06966241,147.9731646,OO
F-E,582948.3105075352,5564090.901809356,-40.06936249,147.9727271,OO
F-E,582911.3747224718,5564124.598802259,-40.06906257,147.9722897,OO
F-E,582874.4386207946,5564158.296718572,-40.06876264,147.9718523,OO
F-E,582837.4936506113,5564191.993431487,-40.06846272,147.9714148,OO
F-E,582800.5568914297,5564225.690974696,-40.06816279,147.9709774,OO
F-E,582763.6198035097,5564259.388331373,-40.06786286,147.97054,OO
F-E,582725.930043038,5564292.136817451,-40.06757155,147.9700939,OO
F-E,582684.6684363364,5564320.376043907,-40.06732121,147.9696065,OO
F-E,582643.4065246896,5564348.615040138,-40.06707087,147.9691191,OO
F-E,582602.1443080952,5564376.853806141,-40.06682053,147.9686317,OO
F-E,582560.8817986329,5564405.093451859,-40.06657018,147.9681443,OO
F-E,582519.6189842147,5564433.332867351,-40.06631983,147.9676569,OO
F-E,582478.355864847,5564461.5720526185,-40.06606948,147.9671695,OO
F-E,582437.0924405275,5564489.811007663,-40.06581913,147.9666821,OO
F-E,582395.8372392708,5564518.049639909,-40.06556878,147.9661948,FO
F-E,582354.573217134,5564546.289244496,-40.06531842,147.9657074,FO
F-E,582313.308890037,5564574.528618865,-40.06506806,147.96522,OO
F-E,582271.8447912438,5564602.463545003,-40.06482046,147.9647303,OO
F-E,582230.3632490356,5564630.390653984,-40.06457293,147.9642404,OO
F-E,582188.8899199693,5564658.316328157,-40.06432541,147.9637506,OO
F-E,582147.4162999862,5564686.242879844,-40.06407788,147.9632608,OO
F-E,582105.9423890653,5564714.170309045,-40.06383034,147.962771,OO
F-E,582064.4681631955,5564742.096395877,-40.06358281,147.9622812,OO
F-E,582022.9936463796,5564770.023360224,-40.06333527,147.9617914,OO
